CMDLINE /opt/conda/bin/python mainlp.py
MEM 897.796875 1725060017.1372
MEM 1515.796875 1725060017.2376
MEM 2119.039062 1725060017.3381
MEM 2519.039062 1725060017.4387
MEM 2943.039062 1725060017.5392
MEM 3339.039062 1725060017.6396
MEM 3607.039062 1725060017.7400
MEM 2047.363281 1725060017.8404
MEM 2679.417969 1725060017.9409
MEM 3329.417969 1725060018.0413
MEM 3795.417969 1725060018.1417
MEM 1953.363281 1725060018.2421
MEM 215.796875 1725060018.3425
MEM 811.796875 1725060018.4429
MEM 1385.796875 1725060018.5433
MEM 2023.039062 1725060018.6437
MEM 2459.039062 1725060018.7442
MEM 2889.039062 1725060018.8445
MEM 3327.039062 1725060018.9449
MEM 3245.363281 1725060019.0452
MEM 2659.417969 1725060019.1458
MEM 3401.417969 1725060019.2463
MEM 3795.417969 1725060019.3467
MEM 1953.363281 1725060019.4476
MEM 347.796875 1725060019.5481
MEM 837.796875 1725060019.6487
MEM 1321.796875 1725060019.7491
MEM 1887.796875 1725060019.8495
MEM 2347.039062 1725060019.9499
MEM 2777.039062 1725060020.0503
MEM 3165.039062 1725060020.1507
MEM 3487.039062 1725060020.2510
MEM 3623.039062 1725060020.3514
MEM 3735.039062 1725060020.4517
MEM 2215.417969 1725060020.5522
MEM 2829.417969 1725060020.6526
MEM 3459.417969 1725060020.7534
MEM 3795.417969 1725060020.8537
MEM 1953.363281 1725060020.9541
MEM 405.796875 1725060021.0546
MEM 913.796875 1725060021.1552
MEM 1539.796875 1725060021.2557
MEM 2137.039062 1725060021.3561
MEM 2579.039062 1725060021.4566
MEM 3021.039062 1725060021.5572
MEM 3417.039062 1725060021.6575
MEM 3681.039062 1725060021.7580
MEM 3785.039062 1725060021.8584
MEM 2493.417969 1725060021.9591
MEM 3113.417969 1725060022.0596
MEM 3743.417969 1725060022.1602
MEM 3795.417969 1725060022.2605
MEM 1953.363281 1725060022.3610
MEM 409.796875 1725060022.4615
MEM 893.796875 1725060022.5619
MEM 1527.796875 1725060022.6624
MEM 2139.039062 1725060022.7629
MEM 2593.039062 1725060022.8634
MEM 3019.039062 1725060022.9638
MEM 3425.039062 1725060023.0643
MEM 1991.363281 1725060023.1648
MEM 2651.417969 1725060023.2653
MEM 3277.417969 1725060023.3658
MEM 3795.417969 1725060023.4663
MEM 1953.363281 1725060023.5670
MEM 265.796875 1725060023.6675
MEM 791.796875 1725060023.7681
MEM 1449.796875 1725060023.8685
MEM 2051.039062 1725060023.9691
MEM 2471.039062 1725060024.0696
MEM 2925.039062 1725060024.1700
MEM 3341.039062 1725060024.2704
MEM 3599.039062 1725060024.3709
MEM 2023.363281 1725060024.4714
MEM 2621.417969 1725060024.5723
MEM 3205.417969 1725060024.6729
MEM 3767.417969 1725060024.7734
MEM 3795.417969 1725060024.8737
MEM 109.742188 1725060024.9742
MEM 465.796875 1725060025.0747
MEM 1027.796875 1725060025.1752
MEM 1731.796875 1725060025.2757
MEM 2271.039062 1725060025.3762
MEM 2713.039062 1725060025.4766
MEM 3131.039062 1725060025.5770
MEM 3533.039062 1725060025.6774
MEM 2141.417969 1725060025.7779
MEM 2805.417969 1725060025.8784
MEM 3475.417969 1725060025.9790
MEM 3795.417969 1725060026.0793
MEM 1953.363281 1725060026.1797
MEM 437.796875 1725060026.2801
MEM 1011.796875 1725060026.3805
MEM 1745.796875 1725060026.4810
MEM 2293.039062 1725060026.5816
MEM 2765.039062 1725060026.6820
MEM 3195.039062 1725060026.7826
MEM 3555.039062 1725060026.8830
MEM 2143.417969 1725060026.9835
MEM 2801.417969 1725060027.0840
MEM 3449.417969 1725060027.1844
MEM 3795.417969 1725060027.2848
MEM 1953.363281 1725060027.3852
MEM 109.742188 1725060027.4856
MEM 575.796875 1725060027.5861
MEM 1163.796875 1725060027.6866
MEM 1803.796875 1725060027.7870
MEM 2275.039062 1725060027.8874
MEM 2713.039062 1725060027.9878
MEM 3057.039062 1725060028.0883
MEM 3445.039062 1725060028.1888
MEM 3675.039062 1725060028.2893
MEM 2169.417969 1725060028.3897
MEM 2821.417969 1725060028.4901
MEM 3481.417969 1725060028.5905
MEM 3795.417969 1725060028.6909
MEM 1953.363281 1725060028.7913
MEM 429.796875 1725060028.8919
MEM 967.796875 1725060028.9923
MEM 1609.796875 1725060029.0927
MEM 2199.039062 1725060029.1932
MEM 2655.039062 1725060029.2936
MEM 3101.039062 1725060029.3940
MEM 3511.039062 1725060029.4946
MEM 2097.417969 1725060029.5950
MEM 2731.417969 1725060029.6962
MEM 3345.417969 1725060029.7967
MEM 3795.417969 1725060029.8974
MEM 1953.363281 1725060029.9979
MEM 109.742188 1725060030.0983
MEM 437.796875 1725060030.1987
MEM 1091.796875 1725060030.2992
MEM 1499.796875 1725060030.3996
MEM 1961.039062 1725060030.5000
MEM 2433.039062 1725060030.6004
MEM 2855.039062 1725060030.7009
MEM 3257.039062 1725060030.8013
MEM 3521.039062 1725060030.9017
MEM 3743.039062 1725060031.0020
MEM 2449.417969 1725060031.1025
MEM 3125.417969 1725060031.2030
MEM 3773.417969 1725060031.3035
MEM 3795.417969 1725060031.4038
MEM 109.742188 1725060031.5042
MEM 587.796875 1725060031.6046
MEM 1135.796875 1725060031.7051
MEM 1795.796875 1725060031.8056
MEM 2303.039062 1725060031.9060
MEM 2771.039062 1725060032.0066
MEM 3173.039062 1725060032.1070
MEM 3579.039062 1725060032.2076
MEM 2185.417969 1725060032.3081
MEM 2807.417969 1725060032.4086
MEM 3385.417969 1725060032.5093
MEM 3793.417969 1725060032.6096
MEM 1953.363281 1725060032.7099
MEM 109.742188 1725060032.8103
MEM 413.796875 1725060032.9108
MEM 959.796875 1725060033.0112
MEM 1561.796875 1725060033.1118
MEM 2135.039062 1725060033.2121
MEM 2565.039062 1725060033.3125
MEM 2925.039062 1725060033.4129
MEM 3303.039062 1725060033.5134
MEM 3685.039062 1725060033.6138
MEM 2385.417969 1725060033.7143
MEM 3051.417969 1725060033.8148
MEM 3713.417969 1725060033.9154
MEM 3795.417969 1725060034.0158
MEM 109.742188 1725060034.1161
MEM 641.796875 1725060034.2169
MEM 1303.796875 1725060034.3174
MEM 2001.039062 1725060034.4178
MEM 2475.039062 1725060034.5184
MEM 2941.039062 1725060034.6189
MEM 3359.039062 1725060034.7193
MEM 3663.039062 1725060034.8203
MEM 2047.363281 1725060034.9207
MEM 2617.417969 1725060035.0212
MEM 3213.417969 1725060035.1219
MEM 3795.417969 1725060035.2224
MEM 1953.363281 1725060035.3230
MEM 109.742188 1725060035.4234
MEM 547.796875 1725060035.5239
MEM 1231.796875 1725060035.6244
MEM 1959.039062 1725060035.7249
MEM 2425.039062 1725060035.8254
MEM 2889.039062 1725060035.9257
MEM 3295.039062 1725060036.0262
MEM 3699.039062 1725060036.1266
MEM 2411.417969 1725060036.2271
MEM 3061.417969 1725060036.3276
MEM 3719.417969 1725060036.4281
MEM 1953.363281 1725060036.5285
MEM 109.742188 1725060036.6288
MEM 591.796875 1725060036.7293
MEM 1125.796875 1725060036.8297
MEM 1845.796875 1725060036.9302
MEM 2209.039062 1725060037.0307
MEM 2673.039062 1725060037.1312
MEM 3093.039062 1725060037.2318
MEM 3457.039062 1725060037.3322
MEM 3669.039062 1725060037.4326
MEM 2197.417969 1725060037.5330
MEM 2813.417969 1725060037.6336
MEM 3421.417969 1725060037.7340
MEM 3795.417969 1725060037.8344
MEM 1953.363281 1725060037.9349
MEM 109.742188 1725060038.0352
MEM 531.796875 1725060038.1357
MEM 1149.796875 1725060038.2361
MEM 1765.796875 1725060038.3366
MEM 2217.039062 1725060038.4370
MEM 2665.039062 1725060038.5375
MEM 3047.039062 1725060038.6379
MEM 3427.039062 1725060038.7384
MEM 1953.363281 1725060038.8388
MEM 2565.417969 1725060038.9392
MEM 3197.417969 1725060039.0398
MEM 3607.417969 1725060039.1402
MEM 3795.417969 1725060039.2406
MEM 1953.363281 1725060039.3409
MEM 193.742188 1725060039.4414
MEM 707.796875 1725060039.5418
MEM 1339.796875 1725060039.6423
MEM 1989.039062 1725060039.7428
MEM 2397.039062 1725060039.8432
MEM 2829.039062 1725060039.9441
MEM 3213.039062 1725060040.0445
MEM 3601.039062 1725060040.1449
MEM 2257.417969 1725060040.2454
MEM 2903.417969 1725060040.3459
MEM 3547.417969 1725060040.4464
MEM 3795.417969 1725060040.5469
MEM 1953.363281 1725060040.6473
MEM 291.796875 1725060040.7480
MEM 853.796875 1725060040.8484
MEM 1467.796875 1725060040.9489
MEM 2085.039062 1725060041.0492
MEM 2557.039062 1725060041.1496
MEM 3003.039062 1725060041.2500
MEM 3389.039062 1725060041.3505
MEM 3659.039062 1725060041.4509
MEM 2081.417969 1725060041.5513
MEM 2749.417969 1725060041.6519
MEM 3415.417969 1725060041.7523
MEM 3795.417969 1725060041.8527
MEM 1953.363281 1725060041.9530
MEM 369.796875 1725060042.0534
MEM 981.796875 1725060042.1539
MEM 1705.796875 1725060042.2542
MEM 2245.039062 1725060042.3546
MEM 2647.039062 1725060042.4551
MEM 3061.039062 1725060042.5556
MEM 3399.039062 1725060042.6560
MEM 3751.039062 1725060042.7565
MEM 2425.417969 1725060042.8569
MEM 3157.417969 1725060042.9574
MEM 3795.417969 1725060043.0578
MEM 1953.363281 1725060043.1582
MEM 1953.363281 1725060043.2586
MEM 225.804688 1725060043.3591
MEM 775.804688 1725060043.4596
MEM 1405.804688 1725060043.5601
MEM 1617.804688 1725060043.6606
MEM 2169.046875 1725060043.7610
MEM 2583.046875 1725060043.8614
MEM 2973.046875 1725060043.9618
MEM 3359.046875 1725060044.0622
MEM 3593.046875 1725060044.1625
MEM 3793.046875 1725060044.2629
MEM 2463.425781 1725060044.3633
MEM 3049.425781 1725060044.4639
MEM 3659.425781 1725060044.5645
MEM 3795.425781 1725060044.6649
MEM 1953.371094 1725060044.7654
MEM 409.804688 1725060044.8660
MEM 897.804688 1725060044.9665
MEM 1543.804688 1725060045.0675
MEM 2125.046875 1725060045.1680
MEM 2597.046875 1725060045.2684
MEM 3033.046875 1725060045.3690
MEM 3445.046875 1725060045.4694
MEM 2019.371094 1725060045.5699
MEM 2669.425781 1725060045.6703
MEM 3103.425781 1725060045.7707
MEM 3247.425781 1725060045.8711
MEM 3719.425781 1725060045.9716
MEM 3795.425781 1725060046.0720
MEM 1953.371094 1725060046.1724
MEM 409.804688 1725060046.2728
MEM 1009.804688 1725060046.3733
MEM 1739.804688 1725060046.4738
MEM 2285.046875 1725060046.5742
MEM 2759.046875 1725060046.6746
MEM 3185.046875 1725060046.7752
MEM 3593.046875 1725060046.8756
MEM 2245.425781 1725060046.9761
MEM 2911.425781 1725060047.0753
MEM 3575.425781 1725060047.1758
MEM 3795.425781 1725060047.2763
MEM 1953.371094 1725060047.3767
MEM 495.804688 1725060047.4772
MEM 1055.804688 1725060047.5777
MEM 1725.804688 1725060047.6781
MEM 2269.046875 1725060047.7785
MEM 2727.046875 1725060047.8790
MEM 3139.046875 1725060047.9795
MEM 3545.046875 1725060048.0798
MEM 3763.046875 1725060048.1803
MEM 2491.425781 1725060048.2807
MEM 3109.425781 1725060048.3813
MEM 3673.425781 1725060048.4817
MEM 3795.425781 1725060048.5821
MEM 1953.371094 1725060048.6825
MEM 333.804688 1725060048.7829
MEM 899.804688 1725060048.8833
MEM 1547.804688 1725060048.9837
MEM 2133.046875 1725060049.0842
MEM 2597.046875 1725060049.1846
MEM 3019.046875 1725060049.2851
MEM 3413.046875 1725060049.3854
MEM 1967.371094 1725060049.4860
MEM 2619.425781 1725060049.5866
MEM 3257.425781 1725060049.6871
MEM 3795.425781 1725060049.7876
MEM 1953.371094 1725060049.8881
MEM 1953.371094 1725060049.9885
MEM 523.804688 1725060050.0889
MEM 911.804688 1725060050.2078
MEM 1281.804688 1725060050.3082
MEM 1871.804688 1725060050.4086
MEM 2345.046875 1725060050.5091
MEM 2749.046875 1725060050.6095
MEM 3155.046875 1725060050.7099
MEM 3547.046875 1725060050.8104
MEM 3769.046875 1725060050.9108
MEM 2495.425781 1725060051.0114
MEM 3157.425781 1725060051.1118
MEM 3795.425781 1725060051.2122
MEM 1953.371094 1725060051.3126
MEM 109.750000 1725060051.4130
MEM 463.804688 1725060051.5134
MEM 1069.804688 1725060051.6139
MEM 1739.804688 1725060051.7143
MEM 2281.046875 1725060051.8148
MEM 2749.046875 1725060051.9153
MEM 3169.046875 1725060052.0158
MEM 3571.046875 1725060052.1166
MEM 2211.425781 1725060052.2171
MEM 2827.425781 1725060052.3177
MEM 3105.425781 1725060052.4181
MEM 3495.425781 1725060052.5185
MEM 3785.425781 1725060052.6189
MEM 1953.371094 1725060052.7194
MEM 175.750000 1725060052.8199
MEM 709.804688 1725060052.9204
MEM 1307.804688 1725060053.0208
MEM 2009.046875 1725060053.1212
MEM 2475.046875 1725060053.2216
MEM 2923.046875 1725060053.3220
MEM 3321.046875 1725060053.4225
MEM 3733.046875 1725060053.5230
MEM 2457.425781 1725060053.6235
MEM 3129.425781 1725060053.7240
MEM 3777.425781 1725060053.8245
MEM 1953.371094 1725060053.9249
MEM 109.750000 1725060054.0252
MEM 397.804688 1725060054.1256
MEM 1073.804688 1725060054.2261
MEM 1687.804688 1725060054.3266
MEM 2205.046875 1725060054.4271
MEM 2631.046875 1725060054.5276
MEM 3025.046875 1725060054.6281
MEM 3427.046875 1725060054.7285
MEM 3709.046875 1725060054.8289
MEM 2311.425781 1725060054.9293
MEM 2943.425781 1725060055.0298
MEM 3551.425781 1725060055.1303
MEM 3795.425781 1725060055.2306
MEM 1953.371094 1725060055.3316
MEM 371.804688 1725060055.4320
MEM 893.804688 1725060055.5325
MEM 1491.804688 1725060055.6330
MEM 2077.046875 1725060055.7334
MEM 2545.046875 1725060055.8337
MEM 2997.046875 1725060055.9343
MEM 3405.046875 1725060056.0347
MEM 1961.371094 1725060056.1353
MEM 2605.425781 1725060056.2359
MEM 3207.425781 1725060056.3364
MEM 3795.425781 1725060056.4368
MEM 1953.371094 1725060056.5372
MEM 109.750000 1725060056.6378
MEM 419.804688 1725060056.7383
MEM 917.804688 1725060056.8387
MEM 1217.804688 1725060056.9391
